month;day;hour;Hothouse;Coldhouse
1;29;:1810;0.119777146;0.010817942
1;29;:1910;0.126822658;0.021635658
1;29;:2010;0.126822658;0.021635658
1;29;:2110;0.133868858;0.0324536
1;29;:2210;0.119777146;0.010817942
1;29;:2310;0.119777146;0.010817942
1;30;:0010;0.119777146;0.021635658
1;30;:0110;0.112731404;0.010817942
1;30;:0210;0.119777146;0.021635658
1;30;:0310;0.119777146;0.021635658
1;30;:0410;0.119777146;0.021635658
1;30;:0510;0.119777146;0.021635658
1;30;:0610;0.112731404;0.010817942
1;30;:0710;0.126822658;0.021635658
1;30;:0810;0.170856594;0.010817942
1;30;:0910;0.156305079;0
1;30;:1010;0.129478843;0.00058308
1;30;:1110;0.114623999;0.00058308
1;30;:1210;0.129478843;0.00058308
1;30;:1310;0.135464539;0
1;30;:1410;0.145884465;0
1;30;:1510;0.151344376;0
1;30;:1610;0.170856594;0.010817942
1;30;:1710;0.098639692;0
1;30;:1810;0.098639692;0
1;30;:1910;0.105685892;0
1;30;:2010;0.098639692;0
1;30;:2110;0.105685892;0
1;30;:2210;0.105685892;0
1;30;:2310;0.112731404;0.010817942
1;31;:0010;0.112731404;0.010817942
1;31;:0110;0.105685892;0
1;31;:0210;0.105685892;0
1;31;:0310;0.098639692;0
1;31;:0410;0.098639692;0
1;31;:0510;0.098639692;0
1;31;:0610;0.091594638;0
1;31;:0710;0.105685892;0
1;31;:0810;0.141254469;0
1;31;:0910;0.135464539;0
1;31;:1010;0.125043926;0
1;31;:1110;0.119058917;0.00058308
1;31;:1210;0.114623999;0.00058308
1;31;:1310;0.129478843;0.00058308
1;31;:1410;0.177145618;0.010817942
1;31;:1510;0.181613298;0.021635658
1;31;:1610;0.112731404;0.010817942
1;31;:1710;0.112731404;0.010817942
1;31;:1810;0.105685892;0
1;31;:1910;0.105685892;0
1;31;:2010;0.112731404;0.010817942
1;31;:2110;0.112731404;0.010817942
1;31;:2210;0.112731404;0.010817942
1;31;:2310;0.112731404;0.010817942
2;1;:0010;0.112731404;0.010817942
2;1;:0110;0.112731404;0.010817942
2;1;:0210;0.112731404;0.010817942
2;1;:0310;0.112731404;0.010817942
2;1;:0410;0.112731404;0.010817942
2;1;:0510;0.112731404;0.010817942
2;1;:0610;0.126822658;0.021635658
2;1;:0710;0.180946502;0.021635658
2;1;:0810;0.170856594;0.010817942
2;1;:0910;0.166725005;0
2;1;:1010;0.166725005;0
2;1;:1110;0.156305079;0.00058308
2;1;:1210;0.156305079;0
2;1;:1310;0.171159923;0.004752554
2;1;:1410;0.197986158;0.0324536
2;1;:1510;0.201792426;0.043271542
2;1;:1610;0.133868858;0.043271542
2;1;:1710;0.133868858;0.043271542
2;1;:1810;0.133868858;0.043271542
2;1;:1910;0.126822658;0.0324536
2;1;:2010;0.126822658;0.0324536
