month;day;hour;P [W]
1;26;:0810;165.7581818
1;26;:0910;258.0681818
1;26;:1010;345.0581818
1;26;:1110;264.3672727
1;26;:1210;304.4763636
1;26;:1310;262.7954545
1;26;:1410;220.3872727
1;26;:1510;49.97545455
1;26;:1610;0
1;26;:1710;0
1;26;:1810;0
1;26;:1910;0
1;26;:2010;0
1;26;:2110;0
1;26;:2210;0
1;26;:2310;0
1;27;:0010;0
1;27;:0110;0
1;27;:0210;0
1;27;:0310;0
1;27;:0410;0
1;27;:0510;0
1;27;:0610;0
1;27;:0710;30.06090909
1;27;:0810;110.5327273
1;27;:0910;166.0763636
1;27;:1010;209.2581818
1;27;:1110;247.9681818
1;27;:1210;206.7081818
1;27;:1310;190.1309091
1;27;:1410;132.16
1;27;:1510;27.79363636
1;27;:1610;0
1;27;:1710;0
1;27;:1810;0
1;27;:1910;0
1;27;:2010;0
1;27;:2110;0
1;27;:2210;0
1;27;:2310;0
1;28;:0010;0
1;28;:0110;0
1;28;:0210;0
1;28;:0310;0
1;28;:0410;0
1;28;:0510;0
1;28;:0610;0
1;28;:0710;45.87636364
1;28;:0810;154.4554545
1;28;:0910;235.8263636
1;28;:1010;343.0018182
1;28;:1110;239.9163636
1;28;:1210;225.3881818
1;28;:1310;252.5872727
1;28;:1410;176.9690909
1;28;:1510;23.04636364
1;28;:1610;0
1;28;:1710;0
1;28;:1810;0
1;28;:1910;0
1;28;:2010;0
1;28;:2110;0
1;28;:2210;0
1;28;:2310;0
1;29;:0010;0
1;29;:0110;0
1;29;:0210;0
1;29;:0310;0
1;29;:0410;0
1;29;:0510;0
1;29;:0610;0
1;29;:0710;48.08727273
1;29;:0810;124.4536364
1;29;:0910;145.4381818
1;29;:1010;196.7018182
1;29;:1110;253.9854545
1;29;:1210;239.4290909
1;29;:1310;231.4918182
1;29;:1410;178.0054545
1;29;:1510;40.05909091
1;29;:1610;0
1;29;:1710;0
1;29;:1810;0
1;29;:1910;0
1;29;:2010;0
1;29;:2110;0
1;29;:2210;0
1;29;:2310;0
1;30;:0010;0
1;30;:0110;0
1;30;:0210;0
1;30;:0310;0
1;30;:0410;0
1;30;:0510;0
1;30;:0610;0
1;30;:0710;64.73
1;30;:0810;161.4427273
1;30;:0910;206.1445455
1;30;:1010;221.7618182
1;30;:1110;244.0463636
1;30;:1210;222.1618182
1;30;:1310;164.1681818
1;30;:1410;140.8909091
1;30;:1510;51.10090909
1;30;:1610;0
1;30;:1710;0
1;30;:1810;0
1;30;:1910;0
1;30;:2010;0
1;30;:2110;0
1;30;:2210;0
1;30;:2310;0
1;31;:0010;0
1;31;:0110;0
1;31;:0210;0
1;31;:0310;0
1;31;:0410;0
1;31;:0510;0
1;31;:0610;0
1;31;:0710;78.15818182
1;31;:0810;189.9654545
1;31;:0910;296.1081818
1;31;:1010;391.8036364
1;31;:1110;360.5818182
1;31;:1210;265.3290909
1;31;:1310;221.93
1;31;:1410;186.0181818
1;31;:1510;78.80818182
1;31;:1610;0
1;31;:1710;0
1;31;:1810;0
1;31;:1910;0
1;31;:2010;0
1;31;:2110;0
1;31;:2210;0
1;31;:2310;0
2;1;:0010;0
2;1;:0110;0
2;1;:0210;0
2;1;:0310;0
2;1;:0410;0
2;1;:0510;0
2;1;:0610;0
2;1;:0710;37.24454545
2;1;:0810;125.5145455
2;1;:0910;174.2254545
2;1;:1010;204.9845455
2;1;:1110;196.2609091
2;1;:1210;184.7463636
2;1;:1310;143.9127273
2;1;:1410;83.71909091
2;1;:1510;20.29727273
2;1;:1610;0
2;1;:1710;0
2;1;:1810;0
2;1;:1910;0
2;1;:2010;0
2;1;:2110;0
2;1;:2210;0
2;1;:2310;0
2;2;:0010;0
2;2;:0110;0
2;2;:0210;0
2;2;:0310;0
2;2;:0410;0
2;2;:0510;0
2;2;:0610;0
2;2;:0710;42.42727273
2;2;:0810;132.5436364
2;2;:0910;161.91
2;2;:1010;191.0790909
2;2;:1110;268.4045455
2;2;:1210;291.1245455
2;2;:1310;198.8263636
2;2;:1410;84.14181818
2;2;:1510;33.72090909
2;2;:1610;0
2;2;:1710;0
2;2;:1810;0
2;2;:1910;0
2;2;:2010;0
2;2;:2110;0
2;2;:2210;0
2;2;:2310;0
2;3;:0010;0
2;3;:0110;0
2;3;:0210;0
2;3;:0310;0
2;3;:0410;0
2;3;:0510;0
2;3;:0610;0
2;3;:0710;67.74181818
2;3;:0810;186.6536364
2;3;:0910;304.99
2;3;:1010;294.3436364
2;3;:1110;323.7818182
2;3;:1210;304.4427273
2;3;:1310;264.3654545
2;3;:1410;186.7918182
2;3;:1510;77.02272727
2;3;:1610;0
2;3;:1710;0
2;3;:1810;0
2;3;:1910;0
2;3;:2010;0
2;3;:2110;0
2;3;:2210;0
2;3;:2310;0
2;4;:0010;0
2;4;:0110;0
2;4;:0210;0
2;4;:0310;0
2;4;:0410;0
2;4;:0510;0
2;4;:0610;0
2;4;:0710;46.60727273
2;4;:0810;129.0672727
2;4;:0910;156.1427273
2;4;:1010;227.5545455
2;4;:1110;189.0954545
2;4;:1210;191.1172727
2;4;:1310;184.1527273
2;4;:1410;150.69
2;4;:1510;68.70363636
2;4;:1610;0
2;4;:1710;0
2;4;:1810;0
2;4;:1910;0
2;4;:2010;0
2;4;:2110;0
2;4;:2210;0
2;4;:2310;0
2;5;:0010;0
2;5;:0110;0
2;5;:0210;0
2;5;:0310;0
2;5;:0410;0
2;5;:0510;0
2;5;:0610;0
2;5;:0710;42.13727273
2;5;:0810;200.34
2;5;:0910;288.9163636
2;5;:1010;288.3063636
2;5;:1110;353.6909091
2;5;:1210;394.4963636
2;5;:1310;267.2645455
2;5;:1410;195.5590909
2;5;:1510;94.19636364
2;5;:1610;0
2;5;:1710;0
2;5;:1810;0
2;5;:1910;0
2;5;:2010;0
2;5;:2110;0
2;5;:2210;0
2;5;:2310;0
2;6;:0010;0
2;6;:0110;0
2;6;:0210;0
2;6;:0310;0
2;6;:0410;0
2;6;:0510;0
2;6;:0610;0
2;6;:0710;54.74636364
2;6;:0810;155.4081818
2;6;:0910;242.9254545
2;6;:1010;293.6736364
2;6;:1110;336.3445455
2;6;:1210;334.1327273
2;6;:1310;294.3872727
2;6;:1410;221.3218182
2;6;:1510;91.35727273
2;6;:1610;0
2;6;:1710;0
2;6;:1810;0
2;6;:1910;0
2;6;:2010;0
2;6;:2110;0
2;6;:2210;0
2;6;:2310;0
2;7;:0010;0
2;7;:0110;0
2;7;:0210;0
2;7;:0310;0
2;7;:0410;0
2;7;:0510;0
2;7;:0610;0
2;7;:0710;55.04
2;7;:0810;154.1972727
2;7;:0910;260.9
2;7;:1010;342.6618182
2;7;:1110;424.9490909
2;7;:1210;370.0609091
2;7;:1310;322.3590909
2;7;:1410;207.0145455
2;7;:1510;81.30818182
2;7;:1610;0
2;7;:1710;0
2;7;:1810;0
2;7;:1910;0
2;7;:2010;0
2;7;:2110;0
2;7;:2210;0
2;7;:2310;0
2;8;:0010;0
2;8;:0110;0
2;8;:0210;0
2;8;:0310;0
2;8;:0410;0
2;8;:0510;0
2;8;:0610;0
2;8;:0710;69.92
2;8;:0810;198.9672727
2;8;:0910;278.8545455
2;8;:1010;388.9863636
2;8;:1110;444.5190909
2;8;:1210;283.9809091
2;8;:1310;203.7809091
2;8;:1410;117.0654545
2;8;:1510;85.00636364
2;8;:1610;0
2;8;:1710;0
2;8;:1810;0
2;8;:1910;0
2;8;:2010;0
2;8;:2110;0
2;8;:2210;0
2;8;:2310;0
2;9;:0010;0
2;9;:0110;0
2;9;:0210;0
2;9;:0310;0
2;9;:0410;0
2;9;:0510;0
2;9;:0610;0
2;9;:0710;82.05272727
2;9;:0810;198.7072727
2;9;:0910;322.1363636
2;9;:1010;368.8509091
2;9;:1110;376.6872727
2;9;:1210;392.2009091
2;9;:1310;376.1163636
2;9;:1410;234.6472727
2;9;:1510;102.2754545
2;9;:1610;0
2;9;:1710;0
2;9;:1810;0
2;9;:1910;0
2;9;:2010;0
2;9;:2110;0
2;9;:2210;0
2;9;:2310;0
2;10;:0010;0
2;10;:0110;0
2;10;:0210;0
2;10;:0310;0
2;10;:0410;0
2;10;:0510;0
2;10;:0610;0
2;10;:0710;60.53090909
2;10;:0810;172.1990909
2;10;:0910;210.5209091
2;10;:1010;259.17
2;10;:1110;272.9254545
2;10;:1210;241.8163636
2;10;:1310;219.32
2;10;:1410;163.2109091
2;10;:1510;70.64090909
2;10;:1610;0
2;10;:1710;0
2;10;:1810;0
2;10;:1910;0
2;10;:2010;0
2;10;:2110;0
2;10;:2210;0
2;10;:2310;0
2;11;:0010;0
2;11;:0110;0
2;11;:0210;0
2;11;:0310;0
2;11;:0410;0
2;11;:0510;0
2;11;:0610;0
2;11;:0710;54.38363636
2;11;:0810;117.4509091
2;11;:0910;223.7654545
2;11;:1010;286.7290909
2;11;:1110;301.4663636
2;11;:1210;291.8381818
2;11;:1310;210.5954545
2;11;:1410;100.6609091
2;11;:1510;42.57272727
2;11;:1610;0
2;11;:1710;0
2;11;:1810;0
2;11;:1910;0
2;11;:2010;0
2;11;:2110;0
2;11;:2210;0
2;11;:2310;0
2;12;:0010;0
2;12;:0110;0
2;12;:0210;0
2;12;:0310;0
2;12;:0410;0
2;12;:0510;0
2;12;:0610;0
2;12;:0710;81.60727273
2;12;:0810;193.6418182
2;12;:0910;268.3036364
2;12;:1010;262.9172727
2;12;:1110;307.9663636
2;12;:1210;306.1527273
2;12;:1310;337.91
2;12;:1410;223.6554545
2;12;:1510;94.73909091
